fname,liveness_score
1414.mp4,1.609054152140743e-07
648.mp4,1.555512483264465e-07
760.mp4,1.5257376162480796e-07
626.mp4,1.6494827548285684e-07
1249.mp4,1.5525813523709076e-07
266.mp4,1.4961736383156676e-07
1122.mp4,1.63510406991918e-07
1846.mp4,1.5882915249676444e-07
1685.mp4,1.5345413828526944e-07
892.mp4,1.488769498791953e-07
634.mp4,1.7111868544361641e-07
1451.mp4,1.5718197232672537e-07
1499.mp4,1.6051581042120233e-07
1527.mp4,1.5695302124640875e-07
1338.mp4,1.573364158957702e-07
186.mp4,1.5218836324493168e-07
748.mp4,1.5653188256692374e-07
1408.mp4,1.5350285309523315e-07
1682.mp4,1.4836471962098585e-07
1439.mp4,1.6546422898500168e-07
666.mp4,1.5198298797258758e-07
830.mp4,1.4248996649257606e-07
1537.mp4,1.4305365425570926e-07
1442.mp4,1.6152016257819923e-07
226.mp4,1.5689983001720975e-07
153.mp4,1.5749606063764077e-07
1455.mp4,1.6800845514808316e-07
1049.mp4,1.718606199574424e-07
271.mp4,1.6997282159536553e-07
338.mp4,1.5407805165068567e-07
762.mp4,1.509448281922232e-07
178.mp4,1.6880350983683456e-07
1311.mp4,1.641845130961883e-07
708.mp4,1.3869231452190434e-07
902.mp4,1.5872063841015915e-07
1224.mp4,1.554837325556946e-07
566.mp4,1.4674844805995235e-07
460.mp4,1.3346220839594025e-07
1780.mp4,1.5250020624080207e-07
466.mp4,1.4862050079500477e-07
1883.mp4,1.6288565518607356e-07
162.mp4,1.4117350133346918e-07
1586.mp4,1.429252591833574e-07
1648.mp4,1.443925157218473e-07
528.mp4,1.44381203881494e-07
1291.mp4,1.6189669338473323e-07
1355.mp4,1.5613073856002302e-07
1853.mp4,1.596327763309091e-07
861.mp4,1.4704517070640577e-07
1525.mp4,1.6485766707319272e-07
1560.mp4,1.5541201037194696e-07
1496.mp4,1.3524550013244152e-07
843.mp4,1.565863385621924e-07
1220.mp4,1.6713102013454773e-07
552.mp4,1.6046209339037887e-07
705.mp4,1.5336354408646002e-07
578.mp4,1.5942394782086922e-07
1481.mp4,1.5202860481622338e-07
1861.mp4,1.5420833676671464e-07
696.mp4,1.6520644408046792e-07
1836.mp4,1.68874393580154e-07
15.mp4,1.4634385081535584e-07
293.mp4,1.3866467440948327e-07
522.mp4,1.5822585908153997e-07
1440.mp4,1.6051581042120233e-07
1282.mp4,1.4963080730012734e-07
973.mp4,1.506640927573244e-07
1405.mp4,1.3385920283326413e-07
1261.mp4,1.693895796961442e-07
707.mp4,1.6734979624288826e-07
539.mp4,1.6433040173069458e-07
121.mp4,1.6286786319597013e-07
1268.mp4,1.5392669183711405e-07
1471.mp4,1.4460907493685227e-07
1155.mp4,1.3811538224217657e-07
545.mp4,1.6372413824683463e-07
1284.mp4,1.5069468872752623e-07
717.mp4,1.5883512105574482e-07
315.mp4,1.542392453757202e-07
733.mp4,1.6418236725712632e-07
574.mp4,1.7458812351378583e-07
1116.mp4,1.653677657031949e-07
174.mp4,1.7804774188334704e-07
214.mp4,1.5730471147890057e-07
1310.mp4,1.549002490719431e-07
1744.mp4,1.5336354408646002e-07
857.mp4,1.525653914313807e-07
1266.mp4,1.4350523258599424e-07
1276.mp4,1.6382247736146383e-07
1272.mp4,1.5096145489224e-07
959.mp4,1.4798358449752413e-07
378.mp4,1.590854310506984e-07
917.mp4,1.4495671507575025e-07
1062.mp4,1.536948275315808e-07
100.mp4,1.5037508660498133e-07
832.mp4,1.5124088292850502e-07
1271.mp4,1.3748169180871628e-07
1561.mp4,1.4776847478970012e-07
944.mp4,1.5073422332534392e-07
1243.mp4,1.66078507390921e-07
1141.mp4,1.5129270991565136e-07
57.mp4,1.752494540596672e-07
567.mp4,1.500087876138423e-07
777.mp4,1.621037171162243e-07
1402.mp4,1.612021094388183e-07
876.mp4,1.5039108802739065e-07
311.mp4,1.5652145179956278e-07
303.mp4,1.4210547760740155e-07
1700.mp4,1.5059610802836687e-07
881.mp4,1.596263246028684e-07
1566.mp4,1.419320199147478e-07
1387.mp4,1.7926861062278476e-07
159.mp4,1.398359188442555e-07
979.mp4,1.7010921737892204e-07
1864.mp4,1.4055930819267815e-07
500.mp4,1.4142466397970566e-07
488.mp4,1.500320649938658e-07
206.mp4,1.5232782857310667e-07
370.mp4,1.436063570281476e-07
139.mp4,1.6180119644104707e-07
381.mp4,1.575705113054937e-07
786.mp4,1.6398450952692656e-07
680.mp4,1.5218384419313224e-07
1295.mp4,1.4894457933678495e-07
1023.mp4,1.4531978820286895e-07
1346.mp4,1.448700004402781e-07
766.mp4,1.6494315957515937e-07
278.mp4,1.5758503479901265e-07
1708.mp4,1.557346394065462e-07
1545.mp4,1.4710283835484006e-07
